Producer (Kop/Client),Type vidéo,Année post,Mois post,videoDuration,commentsCount,likesCount,videoPlayCount,videoViewCount,engagement_rate
Client,Non défini,2024,4,742.0,2,197,16594.0,3106.0,6.41
Client,Non défini,2023,11,90.1,3,298,16536.0,4233.0,7.11
Client,Course / Résumé,2023,11,116.1,2,578,16326.0,4649.0,12.48
Client,Course / Résumé,2023,11,117.2,1,645,16186.0,4095.0,15.78
Client,Non défini,2023,11,133.9,2,244,16090.0,3247.0,7.58
Client,Non défini,2024,3,29.3,7,261,16040.0,5150.0,5.2
Client,Non défini,2024,3,35.2,4,321,15882.0,3861.0,8.42
Client,Non défini,2024,11,27.0,2,411,15813.0,4820.0,8.57
Client,Non défini,2024,12,29.2,1,187,15538.0,3724.0,5.05
Client,Double Expresso,2023,10,198.0,2,314,15536.0,3216.0,9.83
Client,Non défini,2023,10,85.7,0,130,15307.0,2767.0,4.7
Client,Non défini,2023,10,13.3,2,389,15295.0,5640.0,6.93
Client,Non défini,2023,10,139.7,2,263,15291.0,2922.0,9.07
Client,Non défini,2023,10,191.0,3,315,15231.0,3306.0,9.62
Client,Non défini,2024,10,29.2,2,250,14621.0,4657.0,5.41
Client,Double Expresso,2024,4,55.0,1,260,14596.0,4193.0,6.22
Client,Non défini,2023,10,200.8,3,200,14339.0,3093.0,6.56
Client,Non défini,2023,11,77.3,0,342,13877.0,3692.0,9.26
Client,Non défini,2023,10,147.6,3,182,13252.0,2743.0,6.74
Client,Non défini,2023,10,118.4,0,209,13071.0,2885.0,7.24
Client,Non défini,2023,10,60.0,0,223,12977.0,2576.0,8.66
Client,Non défini,2024,12,18.5,1,273,12632.0,3403.0,8.05
Client,Non défini,2023,10,105.3,0,212,11603.0,2214.0,9.58
Client,Non défini,2024,4,30.0,0,91,10659.0,1590.0,5.72
Kop,Non défini,2025,3,,22,794,,,
Client,Non défini,2025,1,,2,118,,,
Client,Non défini,2025,1,,4,2614,,,
Client,Non défini,2025,2,,6,737,,,
Client,Non défini,2025,1,,3,398,,,
Client,Non défini,2024,12,,3,177,,,
Client,Non défini,2024,12,,1,169,,,
Client,Non défini,2024,11,,1,206,,,
Client,Non défini,2024,11,,3,1049,,,
Client,Non défini,2024,11,,6,4046,,,
Client,Non défini,2024,10,,0,203,,,
Client,Non défini,2024,10,,1,192,,,
Client,Non défini,2024,10,,6,1082,,,
Client,Non défini,2024,9,,1,77,,,
Client,Non défini,2024,5,,0,1115,,,
Client,Non défini,2024,5,,0,865,,,
Client,Non défini,2024,9,,0,93,,,
Client,Non défini,2024,4,,1,841,,,
Client,Non défini,2024,9,,1,126,,,
Client,Non défini,2024,3,,4,895,,,
Client,Non défini,2024,2,,9,2061,,,
Client,Non défini,2023,11,,2,629,,,
Client,Non défini,2023,11,,6,1419,,,
Client,Non défini,2023,11,,5,490,,,
Client,Non défini,2023,11,,6,565,,,
Client,Non défini,2023,11,,7,2250,,,
Client,Non défini,2023,11,,4,815,,,
Client,Non défini,2023,11,,25,1109,,,
Client,Non défini,2023,11,,4,1095,,,
Client,Non défini,2023,11,,2,325,,,
Client,Non défini,2023,11,,0,966,,,
Client,Non défini,2023,11,,2,763,,,
Client,Non défini,2023,11,,18,817,,,
Client,Non défini,2023,11,,5,438,,,
Client,Non défini,2023,11,,47,2328,,,
Client,Non défini,2023,11,,0,911,,,
Client,Non défini,2023,11,,18,1449,,,
Client,Non défini,2023,11,,1,1328,,,
Client,Non défini,2023,11,,9,1106,,,
Client,Non défini,2023,11,,9,1265,,,
Client,Non défini,2023,11,,3,829,,,
Client,Non défini,2023,11,,1,959,,,
Client,Non défini,2023,11,,6,559,,,
Client,Non défini,2023,11,,36,2205,,,
Client,Non défini,2023,11,,8,1582,,,
Client,Non défini,2023,11,,26,2740,,,
Client,Non défini,2023,11,,56,4893,,,
Client,Non défini,2023,11,,8,2822,,,
Client,Non défini,2023,11,,11,3157,,,
Client,Non défini,2023,11,,34,1681,,,
Client,Non défini,2023,11,,1,735,,,
Client,Non défini,2023,11,,10,1671,,,
Client,Non défini,2023,11,,15,3380,,,
Client,Non défini,2023,11,,1,945,,,
Client,Non défini,2023,11,,22,3099,,,
Client,Non défini,2023,11,,9,1740,,,
Client,Non défini,2023,11,,4,1014,,,
Client,Non défini,2023,11,,1,1695,,,
Client,Non défini,2023,11,,17,3319,,,
Client,Non défini,2023,11,,30,2229,,,
Client,Non défini,2023,11,,1,1453,,,
Client,Non défini,2023,11,,4,1794,,,
Client,Non défini,2023,11,,276,1180,,,
Client,Non défini,2023,11,,6,1434,,,
Client,Non défini,2023,11,,1,511,,,
Client,Non défini,2023,11,,2,2016,,,
Client,Non défini,2023,10,,8,953,,,
Client,Non défini,2023,10,,0,902,,,
Client,Non défini,2023,10,,9,1636,,,
Client,Non défini,2023,10,,3,909,,,
Client,Non défini,2023,10,,61,10750,,,
Client,Non défini,2023,11,,3,641,,,
Client,Non défini,2023,10,,6,2130,,,
Client,Non défini,2023,10,,38,4720,,,
Client,Non défini,2023,10,,34,7156,,,
Client,Non défini,2023,10,,18,1233,,,
Client,Non défini,2023,10,,2,664,,,
Client,Non défini,2023,10,,3,1433,,,
Client,Non défini,2023,10,,0,310,,,
Client,Non défini,2023,10,,0,545,,,
Client,Non défini,2023,10,,0,531,,,
Client,Non défini,2023,10,,256,1200,,,
Client,Non défini,2023,10,,8,2069,,,
Client,Non défini,2023,10,,8,856,,,
Client,Non défini,2023,10,,1,687,,,
Client,Non défini,2023,10,,4,937,,,
Client,Non défini,2023,10,,2,1391,,,
Client,Non défini,2023,10,,0,330,,,
Client,Non défini,2023,10,,5,1463,,,
Client,Non défini,2023,10,,0,446,,,
Client,Non défini,2023,10,,1,909,,,
